Гражданство,Футболист,Победы
Австрия,Тони Польстер,1
Австрия,Ханс Кранкль,1
Англия,Гарри Кейн,1
Англия,Кевин Филлипс,1
Аргентина,Лионель Месси,6
Аргентина,Эктор Ясальде,1
Бельгия,Эрвин Ванденберг,1
Болгария,Георгий Славков,1
Болгария,Петр Жеков,1
Болгария,Христо Стоичков,1
Бразилия,Марио Жардел,2
Бразилия,Роналдо,1
Греция,Никос Махлас,1
Италия,Лука Тони,1
Италия,Франческо Тотти,1
Италия,Чиро Иммобиле,1
Кипр,Сотирис Кайафас,1
Мексика,Уго Санчес,1
Нидерланды,Вим Кифт,1
Нидерланды,Кес Кист,1
Нидерланды,Марко ван Бастен,1
Нидерланды,Рой Макай,1
Норвегия,Эрлинг Холанн,1
Польша,Роберт Левандовский,2
Португалия,Криштиану Роналду,4
Португалия,Фернанду Гомеш,2
Португалия,Эйсебио,2
Румыния,Дорин Матеуц,1
Румыния,Дуду Джорджеску,2
Турция,Танжу Чолак,1
Уругвай,Диего Форлан,2
Уругвай,Луис Суарес,2
Уэльс,Иан Раш,1
ФРГ,Герд Мюллер,2
Франция,Тьерри Анри,2
Швеция,Хенрик Ларссон,1
Югославия,Дарко Панчев,1
Югославия,Йосип Скоблар,1
